Astar,Greedy,BFS,DFS
635,207,1119,215
290,182,1556,199
1280,232,1574,384
725,205,1629,543
563,159,1634,161
372,117,1700,151
762,284,1406,560
590,145,1702,149
677,137,1692,141
712,163,1770,319
1106,750,1282,856
694,372,1308,1274
985,168,1369,1264
1312,857,1399,1397
801,144,1622,1337
1466,355,1518,573
1149,200,1596,1252
828,561,1389,1339
1193,129,1807,1245
745,160,1697,1072
1221,417,1559,333
276,92,925,777
273,127,934,1030
254,57,1146,383
480,93,1373,206
178,89,946,186
321,148,1235,309
241,65,1040,1393
155,74,1029,978
618,241,1484,984
