Astar,Greedy,BFS,DFS
125,143,125,195
109,145,109,165
125,171,125,163
117,141,117,189
109,133,109,151
99,105,99,139
139,211,139,211
105,127,105,143
101,115,101,133
101,137,101,125
347,403,347,535
173,237,173,671
127,149,127,475
615,615,615,615
117,135,117,585
169,191,169,365
113,159,113,577
173,281,173,331
101,115,101,791
105,133,105,733
97,173,97,255
53,57,53,95
75,95,75,369
51,53,51,103
55,69,55,177
45,67,45,141
59,73,59,247
53,53,53,311
49,51,49,343
59,99,59,395
