Greedy,Astar,BFS,DFS
11,60,72,63
43,105,100,29
9,100,130,20
18,85,99,8
9,32,128,8
10,35,85,10
8,64,115,9
14,27,81,28
8,61,115,23
59,80,90,14
8,71,99,16
10,33,122,23
45,113,98,29
21,75,130,8
4,80,178,31
6,79,190,10
10,110,174,8
8,28,75,15
8,94,189,5
8,57,119,13
8,16,133,35
5,86,191,16
6,69,137,8
5,59,159,10
11,119,260,11
7,18,130,16
7,58,76,12
10,110,174,8
12,50,158,10
17,51,138,22
8,97,201,13
8,40,203,6
8,65,138,3
4,32,165,10
5,110,186,9
8,100,199,3
10,36,139,27
7,114,200,10
11,37,163,10
10,45,171,8
8,54,105,74
11,28,111,97
10,26,114,80
17,60,71,97
51,93,92,81
13,15,20,98
10,50,145,118
35,94,103,108
11,18,149,106
22,29,92,88
8,47,150,126
8,41,135,105
5,31,149,115
10,30,112,94
6,49,138,88
3,77,170,115
12,16,132,80
8,48,163,110
22,40,31,87
15,55,108,89
12,135,193,107
8,106,170,130
0,50,111,71
13,41,89,87
0,89,183,132
3,53,148,110
10,18,33,91
9,45,101,75
8,131,198,139
7,127,207,150
1,47,157,107
8,55,168,139
8,79,176,124
3,87,190,122
10,120,212,158
8,130,210,130
10,120,201,139
5,28,152,115
8,42,142,106
5,47,168,109
22,28,79,52
6,17,52,70
11,60,112,113
0,28,95,115
32,84,94,37
8,11,75,135
18,90,95,10
10,11,64,20
10,31,101,18
5,15,100,3
8,10,100,52
0,8,75,76
7,2,88,130
40,90,94,61
0,18,123,160
9,36,78,12
14,17,72,47
0,12,111,66
8,18,106,17
50,91,78,57
